CODE;TITRE;DEBUT DE VALIDITE;FIN DE VALIDITE;UTILISATION;UTILISATION PAR CLIENT;POURCENTAGE REMISE %;VALABLE SUR PAYS;TYPE DE FORFAIT
ZW3KY5E;GROUPONTEST30;17/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
ZWQX1E2;GROUPONTEST30;17/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
ZWY8LH5;GROUPONTEST30;17/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
ZXKWKS2;GROUPONTEST60;17/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;60 Minutes de communication (3600 crédits à 99€ )
ZXX77NU;GROUPONTEST60;17/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;60 Minutes de communication (3600 crédits à 99€ )
ZY5F6CS;GROUPONTEST60;17/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;60 Minutes de communication (3600 crédits à 99€ )
ZY86Q2C;GROUPONTEST120;17/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;120 Minutes de communication (7200 crédits à 186€ )
ZYHV5O2;GROUPONTEST120;17/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;120 Minutes de communication (7200 crédits à 186€ )
ZYNM8UQ;GROUPONTEST120;17/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;120 Minutes de communication (7200 crédits à 186€ )
1GB8Z09;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1GDY36J;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1GWOF0E;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1H15RLI;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1HEYWN8;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1HTK1D7;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1HX0GP4;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1I43GP0;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1I7LMWX;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1IB9Q8J;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1JEGDHV;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1JMY4QA;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1K531HE;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1K73BCZ;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1KG4BS4;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1KP5QPY;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1KS2ZFM;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1KXH7J3;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1L0ZDD4;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1LHVO5O;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1LO2GT6;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1LWI60W;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1M7WDA1;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1MJ0DDZ;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1NECHD4;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1NJDX0E;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1NTJ7N0;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1NVJRY8;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1O0CH9P;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1O2DX2P;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1O8FNRW;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1OKZ90P;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1OTJB88;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1OZDXK1;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1P05IIX;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1PDH2WD;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1PTON1E;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1PWGVQJ;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1PZJ0U3;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1QE79MM;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1QWB3SR;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
